Date,NSW,VIC,QLD,WA,SA,TAS,ACT,NT,Total,"AUNew","PERCENT_Growth",NSWNew,VICNew,QLDNew,WANew,SANew,TASNew,ACTNew,NTNew
25/01/20,3,1,0,0,0,0,0,0,4,4,,3,1,0,0,0,0,0,0
27/01/20,4,1,0,0,0,0,0,0,6,2,,1,0,0,0,0,0,0,0
29/01/20,4,2,1,0,0,0,0,0,7,1,,0,1,1,0,0,0,0,0
30/01/20,4,3,2,0,0,0,0,0,9,2,,0,1,1,0,0,0,0,0
01/02/20,4,4,2,0,0,0,0,0,10,1,,0,1,0,0,0,0,0,0
04/02/20,4,4,3,0,0,0,0,0,11,1,,0,0,1,0,0,0,0,0
05/02/20,4,4,4,0,0,0,0,0,12,1,,0,0,1,0,0,0,0,0
06/02/20,4,4,5,0,0,0,0,0,13,1,,0,0,1,0,0,0,0,0
22/02/20,4,4,7,1,0,0,0,0,16,3,,0,0,2,1,0,0,0,0
25/02/20,4,4,8,1,0,0,0,0,17,1,,0,0,1,0,0,0,0,0
29/02/20,5,4,9,2,3,0,0,0,23,6,,1,0,1,1,3,0,0,0
01/03/20,6,9,9,2,3,0,0,0,29,6,0.26,1,5,0,0,0,0,0,0
02/03/20,9,9,9,2,3,1,0,0,33,4,0.14,3,0,0,0,0,1,0,0
03/03/20,15,10,10,2,3,1,0,0,41,8,0.24,6,1,1,0,0,0,0,0
04/03/20,22,10,11,2,5,1,0,1,52,11,0.27,7,0,1,0,2,0,0,1
05/03/20,25,10,13,3,7,1,0,1,60,8,0.15,3,0,2,1,2,0,0,0
06/03/20,28,10,14,3,7,1,0,0,63,3,0.05,3,0,1,0,0,0,0,-1
07/03/20,36,11,14,3,7,2,0,0,73,10,0.16,8,1,0,0,0,1,0,0
08/03/20,40,12,15,4,7,2,0,0,80,7,0.10,4,1,1,1,0,0,0,0
09/03/20,47,15,15,6,7,2,0,0,92,12,0.15,7,3,0,2,0,0,0,0
10/03/20,60,19,18,6,7,2,0,0,112,20,0.22,13,4,3,0,0,0,0,0
11/03/20,64,22,20,9,9,3,0,0,127,15,0.13,4,3,2,3,2,1,0,0
12/03/20,77,27,27,9,12,3,1,0,156,29,0.23,13,5,7,0,3,0,1,0
13/03/20,91,36,35,14,16,5,1,0,198,42,0.27,14,9,8,5,4,2,0,0
14/03/20,111,49,46,17,19,5,1,0,248,50,0.25,20,13,11,3,3,0,0,0
15/03/20,133,57,62,18,20,7,1,0,298,50,0.20,22,8,16,1,1,2,0,0
16/03/20,170,71,68,28,30,7,2,0,376,78,0.26,37,14,6,10,10,0,1,0
17/03/20,209,94,78,31,32,7,2,0,453,77,0.21,39,23,10,3,2,0,0,0
18/03/20,266,121,94,35,37,10,3,0,566,113,0.25,57,27,16,4,5,3,1,0
19/03/20,306,150,144,52,42,10,4,0,708,142,0.25,40,29,50,17,5,0,1,0
20/03/20,381,178,184,64,50,10,6,2,875,167,0.24,75,28,40,12,8,0,2,2
21/03/20,435,229,221,90,67,16,9,4,1071,196,0.22,54,51,37,26,17,6,3,2
22/03/20,532,296,259,120,100,22,19,6,1354,283,0.26,97,67,38,30,33,6,10,2
23/03/20,704,355,319,140,134,28,32,6,1718,364,0.27,172,59,60,20,34,6,13,0
24/03/20,913,411,397,175,170,36,39,6,2147,429,0.25,209,56,78,35,36,8,7,0
25/03/20,1029,466,443,205,197,42,44,6,2432,285,0.13,116,55,46,30,27,6,5,0
26/03/20,1219,520,493,231,235,47,53,12,2810,378,0.16,190,54,50,26,38,5,9,6
27/03/20,1405,574,555,255,257,58,62,14,3180,370,0.13,186,54,62,24,22,11,9,2
28/03/20,1617,685,625,278,287,62,71,15,3640,460,0.15,212,111,70,23,30,4,9,1
29/03/20,1791,769,656,312,299,66,77,15,3985,345,0.10,174,84,31,34,12,4,6,0
30/03/20,1918,821,689,355,305,69,78,15,4250,265,0.07,127,52,33,43,6,3,1,0
31/03/20,2032,917,743,364,337,69,80,19,4561,311,0.07,114,96,54,9,32,0,2,4
01/04/20,2182,968,781,392,367,71,84,19,4864,303,0.07,150,51,38,28,30,2,4,0
02/04/20,2298,1036,835,400,385,74,87,22,5137,273,0.06,116,68,54,8,18,3,3,3
03/04/20,2389,1085,873,422,396,80,91,26,5362,225,0.04,91,49,38,22,11,6,4,4
04/04/20,2493,1115,900,436,407,82,93,26,5552,190,0.04,104,30,27,14,11,2,2,0
05/04/20,2580,1135,907,453,409,81,96,26,5687,135,0.02,87,20,7,17,2,-1,3,0
06/04/20,2637,1158,921,460,411,85,96,27,5795,108,0.02,57,23,14,7,2,4,0,1
07/04/20,2686,1191,934,470,415,88,97,27,5908,113,0.02,49,33,13,10,4,3,1,0
08/04/20,2734,1212,943,481,420,97,99,27,6013,105,0.02,48,21,9,11,5,9,2,0
09/04/20,2773,1228,953,495,421,106,100,27,6103,90,0.02,39,16,10,14,1,9,1,0
10/04/20,2822,1241,965,506,428,111,103,27,6203,100,0.02,49,13,12,11,7,5,3,0
11/04/20,2857,1265,974,514,429,123,103,27,6292,89,0.01,35,24,9,8,1,12,0,0
12/04/20,2854,1268,983,517,429,133,102,27,6313,21,0.00,-3,3,9,3,0,10,-1,0
13/04/20,2863,1281,987,523,431,144,103,27,6359,46,0.01,9,13,4,6,2,11,1,0
14/04/20,2870,1291,998,527,433,151,103,27,6400,41,0.01,7,10,11,4,2,7,0,0
15/04/20,2886,1299,999,532,433,168,103,27,6447,47,0.01,16,8,1,5,0,17,0,0
